HOT9,YJコード,漢方薬名
110342702,5200110D1039,当帰四逆加呉茱萸生姜湯
110343401,5200110D1047,当帰四逆加呉茱萸生姜湯
115986801,5200111B1032,当帰芍薬散
110348901,5200111C1038,当帰芍薬散料
110350202,5200111C1054,当帰芍薬散（とうきしゃくやくさん）
110347201,5200111C1089,当帰芍薬散
110352601,5200111D1025,当帰芍薬散（とうきしゃくやくさん）
110353301,5200111D1033,当帰芍薬散料
110354002,5200111D1041,当帰芍薬散
115987501,5200111D1068,当帰芍薬散
110357101,5200111D1076,当帰芍薬散
110358801,5200111D1084,トウキシャクヤクサン
110359501,5200111D1130,当帰芍薬散
110361801,5200111D1157,当帰芍薬散
110362501,5200111D1165,当帰芍薬散
110363201,5200111F1026,当帰芍薬散(とうきしゃくやくさん)
110365601,5200112C1024,当帰芍薬散加附子
110366301,5200113D1024,二朮湯
110368701,5200114D1029,二陳湯
110370001,5200115D1023,女神散
110372401,5200116C1030,人参湯
110374801,5200116C1057,人参湯
110371701,5200116C1065,人参湯
110375501,5200116D1028,人参湯(にんじんとう)
110377901,5200116D1044,人参湯
115962201,5200116D1052,人参湯
110380901,5200116D1079,ニンジントウ
110383001,5200116D1109,人参湯
110386101,5200117C1035,人参養栄湯
110385401,5200117C1043,人参養栄湯
110387801,5200117D1022,人参養栄湯（にんじんようえいとう）
110388501,5200117D1030,人参養栄湯
110389201,5200118C1021,排膿散及湯
110390801,5200118D1027,排膿散及湯
110391501,5200119C1026,麦門冬湯
110392202,5200119C1034,麦門冬湯（ばくもんどうとう）
110393901,5200119D1021,麦門冬湯
110394601,5200119D1030,麦門冬湯
110395301,5200119D1048,バクモンドウトウ
110396001,5200119D1056,麦門冬湯
110397702,5200120C1029,八味丸料
110398401,5200120D1024,ハチミガン
110399101,5200120D1032,八味丸料
110402801,5200121C1031,八味地黄丸料
110401101,5200121C1040,八味地黄丸
110403501,5200121D1029,八味地黄丸（はちみじおうがん）
110404202,5200121D1037,八味地黄丸
110405901,5200121D1045,八味地黄丸
110406605,5200121D1061,八味地黄丸
110409701,5200121F1020,八味地黄丸(はちみじおうがん)
110410301,5200121F1046,八味地黄丸
110412701,5200122C1036,半夏厚朴湯
110414102,5200122C1052,半夏厚朴湯（はんげこうぼくとう）
110411001,5200122C1079,半夏厚朴湯
110416501,5200122D1023,半夏厚朴湯（はんげこうぼくとう）
110417201,5200122D1031,半夏厚朴湯
110418902,5200122D1040,半夏厚朴湯
115988201,5200122D1066,半夏厚朴湯
110421901,5200122D1074,半夏厚朴湯
110422601,5200122D1082,ハンゲコウボクトウ
110424001,5200122D1112,半夏厚朴湯
110425701,5200122F1024,半夏厚朴湯(はんげこうぼくとう)
110426401,5200122F1067,半夏厚朴湯
110430101,5200123C1030,半夏瀉心湯
110431801,5200123C1049,半夏瀉心湯
110432502,5200123C1057,半夏瀉心湯（はんげしゃしんとう）
110429501,5200123C1081,半夏瀉心湯
110434901,5200123D1028,半夏瀉心湯（はんげしゃしんとう）
113403201,5200123D1044,半夏瀉心湯
110436302,5200123D1052,半夏瀉心湯
115963901,5200123D1060,半夏瀉心湯
110438701,5200123D1079,半夏瀉心湯
110439401,5200123D1087,ハンゲシャシントウ
110440001,5200123D1109,半夏瀉心湯
110442401,5200123D1125,半夏瀉心湯
110443101,5200123D1133,半夏瀉心湯
110444801,5200123F1053,半夏瀉心湯
110447901,5200124C1035,半夏白朮天麻湯
110448601,5200124C1043,半夏白朮天麻湯
110446201,5200124C1051,半夏白朮天麻湯
110449301,5200124D1022,半夏白朮天麻湯
110451601,5200125C1030,白虎加人参湯
110450901,5200125C1048,白虎加人参湯
115934902,5200125D1027,白虎加人参湯
110453001,5200125D1035,白虎加人参湯
110454701,5200125D1043,ビャッコカニンジントウ
110455401,5200125F1036,白虎加人参湯
110456101,5200126C1026,茯苓飲
110457801,5200126D1021,茯苓飲
110458501,5200127D1026,茯苓飲合半夏厚朴湯
110459201,5200128C1025,平胃散
110460801,5200128D1020,平胃散（へいいさん）
110462201,5200128D1047,平胃散
110463901,5200128D1055,ヘイイサン
110465301,5200128D1080,平胃散
110467701,5200129C1038,防已黄耆湯
110468402,5200129C1046,防已黄耆湯（ぼういおうぎとう）
110466001,5200129C1062,防已黄耆湯
110469101,5200129D1025,防已黄耆湯（ぼういおうぎとう）
110470701,5200129D1033,防已黄耆湯
110471402,5200129D1041,防已黄耆湯
115989901,5200129D1068,防已黄耆湯
110474501,5200129D1076,防已黄耆湯
110475201,5200129D1084,ボウイオウギトウ
110476901,5200129D1106,防已黄耆湯
110477601,5200129D1114,防已黄耆湯
110478301,5200129F1042,防已黄耆湯
110480601,5200130C1030,防風通聖散
110481301,5200130C1049,防風通聖散料
110479001,5200130C1065,防風通聖散
110483701,5200130D1028,防風通聖散（ぼうふうつうしょうさん）
110485102,5200130D1044,防風通聖散
115964601,5200130D1052,防風通聖散
110487501,5200130D1060,防風通聖散
110488201,5200130D1079,ボウフウツウショウサン
110489901,5200130D1087,防風通聖散
110490501,5200130D1095,防風通聖散
110491201,5200130F1037,防風通聖散
115965301,5200131B1021,補中益気湯
110494302,5200131C1035,補中益気湯
